SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1042.831310,1061.438760,0.000000,0.000000,0.0,0.0
Sky2,3472.748677,1884.170660,0.000000,0.000000,0.0,0.0
Sky3,2336.740184,1144.871440,0.000000,0.000000,0.0,0.0
Sky4,1443.748141,1645.955457,0.000000,0.000000,0.0,0.0
Sky5,3056.220894,1986.456560,0.000000,0.000000,0.0,0.0
Sky6,4144.123062,3045.468196,0.000000,0.000000,0.0,0.0
Sky7,3130.201008,1801.277761,0.000000,0.000000,0.0,0.0
Sky8,912.539894,2926.885215,0.000000,0.000000,0.0,0.0
Sky9,2670.116985,2662.206157,0.000000,0.000000,0.0,0.0
Sky10,3948.546132,641.218087,0.000000,0.000000,0.0,0.0
Sky11,3072.530373,2098.971207,0.000000,0.000000,0.0,0.0
Sky12,660.268879,3301.943332,0.000000,0.000000,0.0,0.0
Sky13,3535.150852,1438.662604,0.000000,0.000000,0.0,0.0
Sky14,1216.167100,4032.075950,0.000000,0.000000,0.0,0.0
Sky15,1645.676177,40.077990,0.000000,0.000000,0.0,0.0
Sky16,2434.387996,1440.840092,0.000000,0.000000,0.0,0.0
Sky17,2893.182118,3572.699722,0.000000,0.000000,0.0,0.0
Sky18,1068.795343,3852.398097,0.000000,0.000000,0.0,0.0
Sky19,3831.473150,2226.840254,0.000000,0.000000,0.0,0.0
Sky20,1771.357619,3181.144378,0.000000,0.000000,0.0,0.0
Sky21,2667.067618,2114.723523,0.000000,0.000000,0.0,0.0
Sky22,3070.527083,1304.095288,0.000000,0.000000,0.0,0.0
Sky23,3499.801566,34.210488,0.000000,0.000000,0.0,0.0
Sky24,748.767597,2091.557713,0.000000,0.000000,0.0,0.0
Sky25,2830.198382,2583.979776,0.000000,0.000000,0.0,0.0
Sky26,1703.836170,2934.085183,0.000000,0.000000,0.0,0.0
Sky27,701.826369,2928.394516,0.000000,0.000000,0.0,0.0
Sky28,1864.220348,3561.394705,0.000000,0.000000,0.0,0.0
Sky29,249.978307,828.819625,0.000000,0.000000,0.0,0.0
Sky30,3267.578510,2762.703765,0.000000,0.000000,0.0,0.0
Sky31,0.000000,3991.294110,0.000000,0.000000,0.0,0.0
Sky32,2129.512205,2690.111567,0.000000,0.000000,0.0,0.0
Sky33,2330.781015,191.052257,0.000000,0.000000,0.0,0.0
Sky34,1994.245038,1282.654053,0.000000,0.000000,0.0,0.0
Sky35,2065.296243,2304.144848,0.000000,0.000000,0.0,0.0
Sky36,1537.447610,3614.218662,0.000000,0.000000,0.0,0.0
Sky37,1578.841792,1576.249892,0.000000,0.000000,0.0,0.0
Sky38,90.691367,2500.058788,0.000000,0.000000,0.0,0.0
Sky39,4079.179886,3996.859185,0.000000,0.000000,0.0,0.0
Sky40,1399.383409,406.883994,0.000000,0.000000,0.0,0.0
Sky41,1404.268710,857.318988,0.000000,0.000000,0.0,0.0
Sky42,2308.892809,3944.832405,0.000000,0.000000,0.0,0.0
Sky43,1365.020215,1827.900850,0.000000,0.000000,0.0,0.0
Sky44,3549.795772,3081.907715,0.000000,0.000000,0.0,0.0
Sky45,915.767988,3366.388107,0.000000,0.000000,0.0,0.0
Sky46,3189.954241,1917.153769,0.000000,0.000000,0.0,0.0
Sky47,3285.757905,2166.662643,0.000000,0.000000,0.0,0.0
Sky48,2081.423879,2954.794354,0.000000,0.000000,0.0,0.0
Sky49,2079.164481,3823.409073,0.000000,0.000000,0.0,0.0
Sky50,2364.035470,1030.823898,0.000000,0.000000,0.0,0.0
Sky51,559.317932,934.554844,0.000000,0.000000,0.0,0.0
Sky52,1426.580665,2152.689955,0.000000,0.000000,0.0,0.0
Sky53,2153.324678,1445.617418,0.000000,0.000000,0.0,0.0
Sky54,1163.385129,267.883830,0.000000,0.000000,0.0,0.0
Sky55,2419.773161,2999.054846,0.000000,0.000000,0.0,0.0
Sky56,55.294585,4160.381464,0.000000,0.000000,0.0,0.0
Sky57,41.538464,1050.036262,0.000000,0.000000,0.0,0.0
Sky58,2296.980125,3568.075705,0.000000,0.000000,0.0,0.0
Sky59,703.616053,3797.358929,0.000000,0.000000,0.0,0.0
Sky60,2996.429632,4042.572492,0.000000,0.000000,0.0,0.0
Sky61,3392.467071,812.461583,0.000000,0.000000,0.0,0.0
Sky62,1158.662981,3299.623733,0.000000,0.000000,0.0,0.0
Sky63,411.061035,2156.427915,0.000000,0.000000,0.0,0.0
Sky64,3284.678707,762.330595,0.000000,0.000000,0.0,0.0
Sky65,2718.949248,1668.011036,0.000000,0.000000,0.0,0.0
Sky66,4144.155436,1585.930487,0.000000,0.000000,0.0,0.0
Sky67,1943.647127,3840.561737,0.000000,0.000000,0.0,0.0
Sky68,3316.003678,1153.801160,0.000000,0.000000,0.0,0.0
Sky69,1139.248321,3091.209425,0.000000,0.000000,0.0,0.0
Sky70,2655.995134,1486.182788,0.000000,0.000000,0.0,0.0
Sky71,3256.562190,308.804809,0.000000,0.000000,0.0,0.0
Sky72,3602.872145,3451.075653,0.000000,0.000000,0.0,0.0
Sky73,1607.446877,1279.149267,0.000000,0.000000,0.0,0.0
Sky74,2296.977656,3236.462257,0.000000,0.000000,0.0,0.0
Sky75,3323.319219,530.128085,0.000000,0.000000,0.0,0.0
Sky76,1002.214510,3712.058305,0.000000,0.000000,0.0,0.0
Sky77,1950.319288,2058.191658,0.000000,0.000000,0.0,0.0
Sky78,706.539779,1554.725441,0.000000,0.000000,0.0,0.0
Sky79,3223.968869,493.549831,0.000000,0.000000,0.0,0.0
Sky80,2855.138057,69.882114,0.000000,0.000000,0.0,0.0
Sky81,599.412678,1295.758289,0.000000,0.000000,0.0,0.0
Sky82,4102.635238,3554.468296,0.000000,0.000000,0.0,0.0
Sky83,2379.127494,2329.780587,0.000000,0.000000,0.0,0.0
Sky84,3120.266623,3929.763038,0.000000,0.000000,0.0,0.0
Sky85,1804.816741,2513.313828,0.000000,0.000000,0.0,0.0
Sky86,257.019229,3337.214289,0.000000,0.000000,0.0,0.0
Sky87,3391.613676,3098.389992,0.000000,0.000000,0.0,0.0
Sky88,1650.496860,441.454089,0.000000,0.000000,0.0,0.0
Sky89,3454.375111,2283.919911,0.000000,0.000000,0.0,0.0
Sky90,535.872477,1903.349337,0.000000,0.000000,0.0,0.0
Sky91,786.430414,3016.588261,0.000000,0.000000,0.0,0.0
Sky92,2702.661006,3442.756501,0.000000,0.000000,0.0,0.0
Sky93,2025.418202,2342.970904,0.000000,0.000000,0.0,0.0
Sky94,4094.788664,3677.614356,0.000000,0.000000,0.0,0.0
Sky95,3600.867136,3464.558423,0.000000,0.000000,0.0,0.0
Sky96,3394.449285,3068.206062,0.000000,0.000000,0.0,0.0
Sky97,510.051232,45.450063,0.000000,0.000000,0.0,0.0
Sky98,2905.877782,3813.154158,0.000000,0.000000,0.0,0.0
Sky99,3354.481577,2670.938239,0.000000,0.000000,0.0,0.0
Sky100,3832.509809,933.182434,0.000000,0.000000,0.0,0.0
Sky101,4132.671021,288.008988,0.000000,0.000000,0.0,0.0
Sky102,40.445950,767.906440,0.000000,0.000000,0.0,0.0
Sky103,1764.491451,2458.561751,0.000000,0.000000,0.0,0.0
Sky104,528.179426,2528.139861,0.000000,0.000000,0.0,0.0
Sky105,1168.351101,2791.002290,0.000000,0.000000,0.0,0.0
Sky106,458.957276,3221.293309,0.000000,0.000000,0.0,0.0
Sky107,3815.010538,3227.321945,0.000000,0.000000,0.0,0.0
Sky108,1848.686619,1190.487346,0.000000,0.000000,0.0,0.0
Sky109,403.251792,1180.214004,0.000000,0.000000,0.0,0.0
Sky110,510.155768,1810.427683,0.000000,0.000000,0.0,0.0
Sky111,4171.581377,2435.467829,0.000000,0.000000,0.0,0.0
Sky112,738.585024,665.955092,0.000000,0.000000,0.0,0.0
Sky113,1389.586680,588.543796,0.000000,0.000000,0.0,0.0
Sky114,1725.334279,2123.534096,0.000000,0.000000,0.0,0.0
Sky115,3324.954217,2321.075421,0.000000,0.000000,0.0,0.0
Sky116,3327.403821,3527.047172,0.000000,0.000000,0.0,0.0
Sky117,2916.836115,1266.397717,0.000000,0.000000,0.0,0.0
Sky118,143.964776,1916.736688,0.000000,0.000000,0.0,0.0
Sky119,1879.617861,1217.142378,0.000000,0.000000,0.0,0.0
Sky120,807.540557,1568.574841,0.000000,0.000000,0.0,0.0
Sky121,2799.923899,3455.589803,0.000000,0.000000,0.0,0.0
Sky122,1732.687885,2194.055712,0.000000,0.000000,0.0,0.0
Sky123,3449.136162,597.008285,0.000000,0.000000,0.0,0.0
Sky124,2291.027105,3690.586705,0.000000,0.000000,0.0,0.0
Sky125,2121.097533,1947.079557,0.000000,0.000000,0.0,0.0
Sky126,287.634786,3065.955770,0.000000,0.000000,0.0,0.0
Sky127,2488.298828,3639.585856,0.000000,0.000000,0.0,0.0
Sky128,3123.256342,1503.290433,0.000000,0.000000,0.0,0.0
Sky129,3596.152703,1702.303285,0.000000,0.000000,0.0,0.0
Sky130,1234.201438,3223.848178,0.000000,0.000000,0.0,0.0
Sky131,2240.762415,3842.371989,0.000000,0.000000,0.0,0.0
Sky132,4097.668451,1996.195510,0.000000,0.000000,0.0,0.0
Sky133,2296.293079,2390.550659,0.000000,0.000000,0.0,0.0
Sky134,2005.294886,2836.098152,0.000000,0.000000,0.0,0.0
Sky135,689.325237,4107.974667,0.000000,0.000000,0.0,0.0
Sky136,3111.783674,3948.590825,0.000000,0.000000,0.0,0.0
Sky137,3383.067143,1547.818523,0.000000,0.000000,0.0,0.0
Sky138,2171.975921,1923.926292,0.000000,0.000000,0.0,0.0
Sky139,2257.906369,2012.463421,0.000000,0.000000,0.0,0.0
Sky140,1918.367695,3993.304345,0.000000,0.000000,0.0,0.0
Sky141,821.510243,2529.876043,0.000000,0.000000,0.0,0.0
Sky142,3394.231071,2815.364151,0.000000,0.000000,0.0,0.0
Sky143,739.552175,2642.514359,0.000000,0.000000,0.0,0.0
Sky144,2900.296242,585.248240,0.000000,0.000000,0.0,0.0
Sky145,3259.246782,2401.768878,0.000000,0.000000,0.0,0.0
Sky146,3005.789204,247.723328,0.000000,0.000000,0.0,0.0
Sky147,1445.474481,3033.862879,0.000000,0.000000,0.0,0.0
