SkyId,halo_x1,halo_y1,halo_x2,halo_y2,halo_x3,halo_y3
Sky1,1042.831309,1061.438829,0.000000,0.000000,0.000000,0.000000
Sky2,3472.740367,1884.167737,0.000000,0.000000,0.000000,0.000000
Sky3,2336.740236,1144.871432,0.000000,0.000000,0.000000,0.000000
Sky4,1443.840763,1645.845094,0.000000,0.000000,0.000000,0.000000
Sky5,3056.223508,1986.453538,0.000000,0.000000,0.000000,0.000000
Sky6,4144.117158,3045.555523,0.000000,0.000000,0.000000,0.000000
Sky7,3130.189421,1801.266566,0.000000,0.000000,0.000000,0.000000
Sky8,912.540370,2926.884373,0.000000,0.000000,0.000000,0.000000
Sky9,2670.116692,2662.203668,0.000000,0.000000,0.000000,0.000000
Sky10,3948.548622,641.215530,0.000000,0.000000,0.000000,0.000000
Sky11,3072.516983,2098.956977,0.000000,0.000000,0.000000,0.000000
Sky12,660.542975,3302.070703,0.000000,0.000000,0.000000,0.000000
Sky13,3535.152178,1438.662007,0.000000,0.000000,0.000000,0.000000
Sky14,1216.123189,4032.068994,0.000000,0.000000,0.000000,0.000000
Sky15,1645.640138,40.099767,0.000000,0.000000,0.000000,0.000000
Sky16,2434.384963,1440.831549,0.000000,0.000000,0.000000,0.000000
Sky17,2893.216003,3572.711479,0.000000,0.000000,0.000000,0.000000
Sky18,1068.794732,3852.396886,0.000000,0.000000,0.000000,0.000000
Sky19,3831.754742,2226.960679,0.000000,0.000000,0.000000,0.000000
Sky20,1771.501754,3181.166915,0.000000,0.000000,0.000000,0.000000
Sky21,2667.067595,2114.723709,0.000000,0.000000,0.000000,0.000000
Sky22,3070.304622,1303.892024,0.000000,0.000000,0.000000,0.000000
Sky23,3499.802491,34.210377,0.000000,0.000000,0.000000,0.000000
Sky24,748.757386,2091.556043,0.000000,0.000000,0.000000,0.000000
Sky25,2830.198019,2583.980362,0.000000,0.000000,0.000000,0.000000
Sky26,1703.868100,2934.042492,0.000000,0.000000,0.000000,0.000000
Sky27,701.826117,2928.394654,0.000000,0.000000,0.000000,0.000000
Sky28,1864.307035,3561.064600,0.000000,0.000000,0.000000,0.000000
Sky29,249.979044,828.827141,0.000000,0.000000,0.000000,0.000000
Sky30,3267.576163,2762.711119,0.000000,0.000000,0.000000,0.000000
Sky31,0.006730,3991.307496,0.000000,0.000000,0.000000,0.000000
Sky32,2129.512250,2690.111326,0.000000,0.000000,0.000000,0.000000
Sky33,2330.775755,191.050183,0.000000,0.000000,0.000000,0.000000
Sky34,1994.245768,1282.650748,0.000000,0.000000,0.000000,0.000000
Sky35,2065.290738,2304.151826,0.000000,0.000000,0.000000,0.000000
Sky36,1537.453512,3614.207200,0.000000,0.000000,0.000000,0.000000
Sky37,1578.829861,1576.246002,0.000000,0.000000,0.000000,0.000000
Sky38,90.701558,2500.054202,0.000000,0.000000,0.000000,0.000000
Sky39,4078.687829,3997.655332,0.000000,0.000000,0.000000,0.000000
Sky40,1399.382055,406.883369,0.000000,0.000000,0.000000,0.000000
Sky41,1404.201760,857.394942,0.000000,0.000000,0.000000,0.000000
Sky42,2308.916126,3944.823249,0.000000,0.000000,0.000000,0.000000
Sky43,1365.020278,1827.901215,0.000000,0.000000,0.000000,0.000000
Sky44,3549.795774,3081.907716,0.000000,0.000000,0.000000,0.000000
Sky45,915.762472,3366.377417,0.000000,0.000000,0.000000,0.000000
Sky46,3189.954241,1917.153769,0.000000,0.000000,0.000000,0.000000
Sky47,3285.740929,2166.687921,0.000000,0.000000,0.000000,0.000000
Sky48,2081.626448,2954.835209,0.000000,0.000000,0.000000,0.000000
Sky49,2079.173383,3823.359784,0.000000,0.000000,0.000000,0.000000
Sky50,2364.036574,1030.820193,0.000000,0.000000,0.000000,0.000000
Sky51,559.318896,934.548137,0.000000,0.000000,0.000000,0.000000
Sky52,1426.579494,2152.689214,0.000000,0.000000,0.000000,0.000000
Sky53,2153.324678,1445.617418,0.000000,0.000000,0.000000,0.000000
Sky54,1163.388382,267.882080,0.000000,0.000000,0.000000,0.000000
Sky55,2419.774126,2999.055008,0.000000,0.000000,0.000000,0.000000
Sky56,54.954339,4160.318726,0.000000,0.000000,0.000000,0.000000
Sky57,41.540700,1050.036920,0.000000,0.000000,0.000000,0.000000
Sky58,2296.980060,3568.075753,0.000000,0.000000,0.000000,0.000000
Sky59,703.619666,3797.365184,0.000000,0.000000,0.000000,0.000000
Sky60,2996.428225,4042.571819,0.000000,0.000000,0.000000,0.000000
Sky61,3392.459787,812.460449,0.000000,0.000000,0.000000,0.000000
Sky62,1157.847170,3298.662292,0.000000,0.000000,0.000000,0.000000
Sky63,411.059914,2156.427108,0.000000,0.000000,0.000000,0.000000
Sky64,3284.678708,762.330592,0.000000,0.000000,0.000000,0.000000
Sky65,2718.949319,1668.011032,0.000000,0.000000,0.000000,0.000000
Sky66,4144.197657,1585.909696,0.000000,0.000000,0.000000,0.000000
Sky67,1943.692600,3840.608965,0.000000,0.000000,0.000000,0.000000
Sky68,3316.055945,1153.740980,0.000000,0.000000,0.000000,0.000000
Sky69,1139.257279,3091.210956,0.000000,0.000000,0.000000,0.000000
Sky70,2655.993357,1486.183090,0.000000,0.000000,0.000000,0.000000
Sky71,3256.562078,308.794282,0.000000,0.000000,0.000000,0.000000
Sky72,3602.872145,3451.075653,0.000000,0.000000,0.000000,0.000000
Sky73,1607.083994,1279.232425,0.000000,0.000000,0.000000,0.000000
Sky74,2296.969792,3236.462061,0.000000,0.000000,0.000000,0.000000
Sky75,3317.878422,774.251403,0.000000,0.000000,0.000000,0.000000
Sky76,1002.192291,3712.046599,0.000000,0.000000,0.000000,0.000000
Sky77,1950.319288,2058.191658,0.000000,0.000000,0.000000,0.000000
Sky78,706.538552,1554.727380,0.000000,0.000000,0.000000,0.000000
Sky79,3223.930561,493.520508,0.000000,0.000000,0.000000,0.000000
Sky80,2855.080783,69.953257,0.000000,0.000000,0.000000,0.000000
Sky81,599.400954,1295.815515,0.000000,0.000000,0.000000,0.000000
Sky82,4102.670853,3554.205000,0.000000,0.000000,0.000000,0.000000
Sky83,2379.141628,2329.783904,0.000000,0.000000,0.000000,0.000000
Sky84,3120.263136,3929.711187,0.000000,0.000000,0.000000,0.000000
Sky85,1804.811787,2513.311906,0.000000,0.000000,0.000000,0.000000
Sky86,256.944008,3337.104137,0.000000,0.000000,0.000000,0.000000
Sky87,3391.642158,3098.359371,0.000000,0.000000,0.000000,0.000000
Sky88,1650.496860,441.454089,0.000000,0.000000,0.000000,0.000000
Sky89,3454.374862,2283.918390,0.000000,0.000000,0.000000,0.000000
Sky90,535.883998,1903.328255,0.000000,0.000000,0.000000,0.000000
Sky91,786.435821,3016.580641,0.000000,0.000000,0.000000,0.000000
Sky92,2702.659685,3442.761344,0.000000,0.000000,0.000000,0.000000
Sky93,2025.417948,2342.971940,0.000000,0.000000,0.000000,0.000000
Sky94,4094.711203,3677.569163,0.000000,0.000000,0.000000,0.000000
Sky95,3600.842752,3464.807009,0.000000,0.000000,0.000000,0.000000
Sky96,3394.449218,3068.206103,0.000000,0.000000,0.000000,0.000000
Sky97,510.062540,45.451303,0.000000,0.000000,0.000000,0.000000
Sky98,2905.880838,3813.159080,0.000000,0.000000,0.000000,0.000000
Sky99,3354.481161,2670.908244,0.000000,0.000000,0.000000,0.000000
Sky100,3832.503045,933.174749,0.000000,0.000000,0.000000,0.000000
Sky101,4135.823253,298.447818,1120.763438,1844.386054,0.000000,0.000000
Sky102,51.650667,798.007451,3192.331697,198.956648,0.000000,0.000000
Sky103,1775.475189,2456.126565,3462.613376,3532.487550,0.000000,0.000000
Sky104,508.009208,2495.100629,434.387804,1538.754478,0.000000,0.000000
Sky105,1169.290528,2790.982292,3813.850136,2199.196010,0.000000,0.000000
Sky106,458.616980,3220.870689,3446.043557,552.816934,0.000000,0.000000
Sky107,3809.815831,3184.323513,501.438702,1481.712682,0.000000,0.000000
Sky108,1848.939900,1205.704154,2617.540568,465.263771,0.000000,0.000000
Sky109,424.636389,1196.347161,1825.817410,2301.997710,0.000000,0.000000
Sky110,515.472365,1839.407441,3301.000268,1090.684868,0.000000,0.000000
Sky111,4245.490809,2404.653167,1555.653333,1791.410315,0.000000,0.000000
Sky112,744.318158,685.584293,762.229556,1161.488187,0.000000,0.000000
Sky113,1328.561262,606.602571,262.183170,2111.885654,0.000000,0.000000
Sky114,1728.577917,2126.450212,1384.415926,1289.271054,0.000000,0.000000
Sky115,3316.222226,2308.946965,2362.158667,714.375525,0.000000,0.000000
Sky116,3316.311709,3481.644464,2080.641504,1134.241069,0.000000,0.000000
Sky117,2901.388133,1282.000708,976.335893,2462.806900,0.000000,0.000000
Sky118,136.578602,1909.337136,1314.946296,1993.469660,0.000000,0.000000
Sky119,1948.748532,1205.584350,3799.131540,384.359413,0.000000,0.000000
Sky120,781.601900,1587.440399,1977.378882,2511.715929,0.000000,0.000000
Sky121,2776.024963,3431.497128,313.602028,584.206892,0.000000,0.000000
Sky122,1697.083075,2110.559861,2397.808794,3227.715739,0.000000,0.000000
Sky123,3425.790926,617.638369,1902.172993,-0.693379,0.000000,0.000000
Sky124,2294.480875,3666.672149,3282.707181,2865.353873,0.000000,0.000000
Sky125,2092.466197,1964.569362,1231.063159,2556.577089,0.000000,0.000000
Sky126,298.255834,3066.779387,2507.199364,2819.054787,0.000000,0.000000
Sky127,2494.295897,3624.286176,3621.185331,3150.797194,0.000000,0.000000
Sky128,3110.497417,1509.379075,1095.540167,1880.144927,0.000000,0.000000
Sky129,3586.979332,1736.936712,4057.468224,159.105589,0.000000,0.000000
Sky130,1260.083693,3221.351904,2699.883951,3555.774095,0.000000,0.000000
