SkyId,pred_x1,pred_y1,pred_d,pred_norm,best_x1,best_y1,best_norm,best_norm
Sky1,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky2,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky3,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky4,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky5,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky6,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky7,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky8,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky9,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky10,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky11,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky12,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky13,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky14,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky15,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky16,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky17,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky18,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky19,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky20,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky21,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky22,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky23,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky24,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky25,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky26,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky27,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky28,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky29,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky30,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky31,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky32,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky33,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky34,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky35,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky36,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky37,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky38,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky39,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky40,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky41,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky42,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky43,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky44,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky45,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky46,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky47,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky48,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky49,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky50,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky51,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
Sky52,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,10000.000000,10000.000000
